smiles,ccdid,description,sm_check,rd_smiles,res_smiles
c1c[se]c2c1c(c[nH]2)CC(C(=O)O)N,23S,"(s)-2-amino-3-(6h-selenolo[2,3-b]-pyrrol-4-yl)-propionic acid",True,NC(Cc1c[nH]c2[se]ccc12)C(=O)O,NC(C=O)Cc1c[nH]c2[se]ccc12
Cc1cc(c(c(c1)C)NC(=O)Nc2cc3ccccc3cc2C(=O)NC(C(C)OC(C)(C)C)C(=O)O)C,26B,"o-tert-butyl-n-[(3-{[(2,4,6-trimethylphenyl)carbamoyl]amino}naphthalen-2-yl)carbonyl]-l-threonine",True,Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC(C(=O)O)C(C)OC(C)(C)C)c(C)c1,Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC(C=O)C(C)OC(C)(C)C)c(C)c1
CC(C(C(=O)O)N)OP(=O)(O)OCCC(CO)O,28X,"o-[(r)-{[(3r)-3,4-dihydroxybutyl]oxy}(hydroxy)phosphoryl]-l-threonine",True,CC(OP(=O)(O)OCCC(O)CO)C(N)C(=O)O,CC(OP(=O)(O)OCCC(O)CO)C(N)C=O
C=CCC(C(=O)O)N,2AG,(2s)-2-aminopent-4-enoic acid,True,C=CCC(N)C(=O)O,C=CCC(N)C=O
CC(COC(=O)CCCCC(=O)O)(C(C(=O)O)NCCC=O)S(=O)O,2AW,"6-({(2r,3s)-3-carboxy-2-methyl-3-[(3-oxopropyl)amino]-2-sulfinopropyl}oxy)-6-oxohexanoic acid",True,CC(COC(=O)CCCCC(=O)O)(C(NCCC=O)C(=O)O)S(=O)O,CC(COC(=O)CCCCC(=O)O)(C(C=O)NCCC=O)S(=O)O
Cc1c(c(c(cn1)COP(=O)(O)O)CNC(C(C)O)C(=O)O)O,2BK,n-({3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]pyridin-4-yl}methyl)-l-allothreonine,True,Cc1ncc(COP(=O)(O)O)c(CNC(C(=O)O)C(C)O)c1O,Cc1ncc(COP(=O)(O)O)c(CNC(C=O)C(C)O)c1O
C1(C(C1C(=O)O)C(=O)O)C(C(=O)O)N,2CG,"(1r,2r)-3-[(s)-amino(carboxy)methyl]cyclopropane-1,2-dicarboxylic acid",True,NC(C(=O)O)C1C(C(=O)O)C1C(=O)O,NC(C=O)C1C(C(=O)O)C1C(=O)O
C(C(C(=O)O)N)SOO,2CO,s-hydroperoxycysteine,True,NC(CSOO)C(=O)O,NC(C=O)CSOO
C(CSC(F)F)C(C(=O)O)N,2FM,s-(difluoromethyl)homocysteine,True,NC(CCSC(F)F)C(=O)O,NC(C=O)CCSC(F)F
c1ccc(cc1)CCCCOP(=O)(NC(CCC(=O)O)C(=O)O)O,2G4,n-[(s)-hydroxy(4-phenylbutoxy)phosphoryl]-l-glutamic acid,True,O=C(O)CCC(NP(=O)(O)OCCCCc1ccccc1)C(=O)O,O=CC(CCC(=O)O)NP(=O)(O)OCCCCc1ccccc1
c1ccc(cc1)c2ccc(cc2)COP(=O)(NC(CCC(=O)O)C(=O)O)O,2GB,n-[(s)-(biphenyl-4-ylmethoxy)(hydroxy)phosphoryl]-l-glutamic acid,True,O=C(O)CCC(NP(=O)(O)OCc1ccc(-c2ccccc2)cc1)C(=O)O,O=CC(CCC(=O)O)NP(=O)(O)OCc1ccc(-c2ccccc2)cc1
c1ccc(cc1)C(=O)NCCOP(=O)(NC(CCC(=O)O)C(=O)O)O,2GR,n-[(s)-[2-(benzoylamino)ethoxy](hydroxy)phosphoryl]-l-glutamic acid,True,O=C(O)CCC(NP(=O)(O)OCCNC(=O)c1ccccc1)C(=O)O,O=CC(CCC(=O)O)NP(=O)(O)OCCNC(=O)c1ccccc1
c1c([nH+]c([nH]1)F)CC(C(=O)O)N,2HF,2-fluoro-l-histidine,True,NC(Cc1c[nH]c(F)n1)C(=O)O,NC(C=O)Cc1c[nH]c(F)n1
CCNCC(=O)O,2JC,n-ethylglycine,True,CCNCC(=O)O,CCNCC=O
CC(C)CC(C(=O)NCCCC(=O)OCC(C=O)N)O,2JF,(2s)-2-amino-3-oxopropyl 4-{[(2s)-2-hydroxy-4-methylpentanoyl]amino}butanoate,True,CC(C)CC(O)C(=O)NCCCC(=O)OCC(N)C=O,CC(C)CC(O)C(=O)NCCCC(=O)OCC(N)C=O
CCCCCC(=O)OCC(C=O)N,2JG,(2s)-2-amino-3-oxopropyl hexanoate,True,CCCCCC(=O)OCC(N)C=O,CCCCCC(=O)OCC(N)C=O
C1CC(C1)CC(C(=O)O)N,2JH,3-cyclobutyl-l-alanine,True,NC(CC1CCC1)C(=O)O,NC(C=O)CC1CCC1
